Date,Price,Open,High,Low,Vol.,Change %
Feb 10,1118.3,1081,1127.4,1045.2,17.64K,0.0326
Mar 10,1113.3,1119.3,1145,1085.5,63.87K,-0.0045
Apr 10,1180.1,1112.9,1181.3,1111.3,8.60K,0.06
May 10,1212.2,1178.6,1246.5,1159.2,124.17K,0.0272
Jun 10,1245.5,1217,1264.8,1196.9,16.40K,0.0275
Jul 10,1181.7,1241.7,1242.4,1158.7,60.70K,-0.0512
Aug 10,1248.3,1181.8,1249.4,1174.7,8.71K,0.0564
Sep 10,1307.8,1252.3,1315.2,1239,8.09K,0.0477
Oct 10,1357.1,1309,1383.9,1309,3.17K,0.0377
Nov 10,1385,1360.3,1423.2,1327.5,106.91K,0.0206
Dec 10,1421.1,1386.8,1431.1,1362.5,16.14K,0.0261
Jan 11,1333.8,1415.6,1423.9,1307.7,88.70K,-0.0614
Feb 11,1409.3,1333.1,1415.7,1324.9,13.73K,0.0566
Mar 11,1438.9,1415.3,1446.9,1385.5,58.55K,0.021
Apr 11,1556,1433.4,1568.7,1413,15.55K,0.0814
May 11,1535.9,1572.9,1576.6,1471,84.31K,-0.0129
Jun 11,1502.3,1535.7,1558.5,1490.7,14.69K,-0.0219
Jul 11,1628.3,1502.2,1634.9,1480,77.74K,0.0839
Aug 11,1828.5,1623,1909.3,1607,24.85K,0.123
Sep 11,1620.4,1825.8,1911.6,1562.4,10.61K,-0.1138
Oct 11,1724.2,1627.8,1752,1596.6,2.24K,0.0641
Nov 11,1745.5,1706.7,1797,1674.4,81.48K,0.0124
Dec 11,1565.8,1747,1762.9,1525,10.60K,-0.103
Jan 12,1737.8,1568.9,1747.7,1566,62.70K,0.1098
Feb 12,1709.9,1738.2,1790.4,1669,8.89K,-0.0161
Mar 12,1669.3,1698.6,1724.6,1633.8,61.45K,-0.0237
Apr 12,1663.4,1670.4,1682.8,1613,9.55K,-0.0035
May 12,1562.6,1665,1670.5,1528.5,86.46K,-0.0606
