time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-18T16:49:46.085Z,-20.5226,-175.2379,77.93,4.7,mb,,70,7.359,1.06,us,us6000gdf2,2022-01-15T20:51:41.040Z,"68 km N of Nuku‘alofa, Tonga",earthquake,7.7,6.2,0.053,107,reviewed,us,us
2021-12-18T12:06:13.287Z,-28.0439,-177.3806,61.03,4.3,mb,,218,1.303,0.3,us,us6000gek7,2022-01-13T13:55:09.040Z,"Kermadec Islands region",earthquake,12.3,13,0.143,14,reviewed,us,us
2021-12-18T11:33:41.991Z,-18.0952,168.2019,53.14,4.1,mb,,104,2.801,0.46,us,us6000gejx,2022-01-14T09:51:58.040Z,"41 km SSW of Port-Vila, Vanuatu",earthquake,6.5,8.4,0.14,16,reviewed,us,us
2021-12-18T10:18:58.862Z,-20.7193,-177.9498,505.05,4,mb,,233,4.797,0.2,us,us6000gejv,2022-01-13T13:08:05.040Z,"288 km W of Haveluloto, Tonga",earthquake,13.6,13.4,0.119,21,reviewed,us,us
2021-12-18T01:26:38.328Z,-23.5883,-179.5985,524.77,4.2,mb,,122,6.215,0.82,us,us6000gejm,2021-12-23T02:08:03.040Z,"south of the Fiji Islands",earthquake,13.8,8.1,0.147,15,reviewed,us,us
2021-12-18T01:12:29.396Z,-21.8009,-174.5284,10,5.1,mb,,76,8.035,1.34,us,us6000gdah,2022-01-15T00:13:48.040Z,"67 km SE of ‘Ohonua, Tonga",earthquake,10.7,1.8,0.039,217,reviewed,us,us
2021-12-17T20:46:52.585Z,-26.1026,-178.5476,364.42,4.2,mb,,107,3.196,0.86,us,us6000geic,2022-01-14T19:48:44.040Z,"south of the Fiji Islands",earthquake,13.9,8,0.132,16,reviewed,us,us
2021-12-17T20:02:30.019Z,-17.9852,-178.5023,575.13,5.7,mww,,38,3.289,1.08,us,us6000gd7w,2022-01-14T19:20:10.669Z,"231 km E of Levuka, Fiji",earthquake,9.4,3.6,0.071,19,reviewed,us,us
2021-12-17T19:48:11.373Z,-28.7602,-178.1197,177.76,4.6,mb,,55,0.529,1.09,us,us6000gd8c,2022-01-14T18:49:20.040Z,"Kermadec Islands region",earthquake,10.9,4.8,0.081,51,reviewed,us,us
2021-12-17T08:58:54.488Z,-24.8624,-179.4637,480.93,4,mb,,128,4.593,0.78,us,us6000gei1,2022-01-05T09:10:32.040Z,"south of the Fiji Islands",earthquake,14.2,11.9,0.138,14,reviewed,us,us
2021-12-17T07:34:57.811Z,-16.2722,-174.9361,284.45,4.6,mb,,127,3.847,0.5,us,us6000gd1k,2022-01-05T08:42:31.040Z,"Tonga",earthquake,14.2,9.8,0.122,20,reviewed,us,us
2021-12-17T06:49:09.204Z,-21.4616,-176.4647,212.21,4.4,mb,,171,6.353,0.44,us,us6000gehu,2022-01-05T08:12:30.040Z,"134 km WSW of Haveluloto, Tonga",earthquake,11.7,10.6,0.161,13,reviewed,us,us
2021-12-16T23:29:21.528Z,-28.4573,-176.7743,10,4.9,mb,,72,1.285,0.44,us,us6000gczh,2022-01-08T03:10:27.040Z,"Kermadec Islands region",earthquake,9,1.8,0.101,31,reviewed,us,us
