Pgroup;Lp;PKod;Pname;p_sale_in_time;Psale;Pavarage_stock;Rotation_in_days;Rotation_in_times
ART._HYGIENIC;;;;;;;;
 ;1;14249;LUDWIK UNIWERSALNY 1 L;0,002673797;1,00;0,00;0;
 ;1;8146;LUGA KROCHMAL 750ML;0,00802139;3,00;0,00;0;
 ;1;7935;LYZKI 12 SZT;0,002673797;1,00;0,00;0;
 ;1;11178;MAKARON SULMA PIORA 500 G;0,002673797;1,00;0,00;0;
 ;1;8129;MARKER CZARNY 1 SZT;0,018716578;7,00;0,00;0;
 ;1;19249;MASZYNKA JEDNORAZOWA WIKINSON;0,032085561;12,00;0,00;0;
 ;1;1618;MASZYNKA POLSILVER;0,299465241;112,00;0,00;0;
 ;1;18601;MASZYNKA WILKINSON XTREME 3 BEAUTY;0,061497326;23,00;0,00;0;
 ;1;7622;MELT DO RUR 750 ML;0,005347594;2,00;0,00;0;
 ;1;15335;MISECZKI DO ZUP PLASTIK 12 SZT;0,002673797;1,00;0,00;0;
 ;1;9987;MLECZKO CIF DO CZYSZCZENIA 540GR;0,010695187;4,00;0,00;0;
 ;1;6409;MOLA PAPIER BIALY 8;0,040106952;15,00;0,00;0;
 ;1;10513;MOLA POAPIER ZAPACH 8 MAGNOLIA;0,013368984;5,00;0,00;0;
 ;1;10491;MYDLO ARKO 90 G RUMIANEK;0,016042781;6,00;0,00;0;
 ;1;15999;MYDLO ARKO EXTRA 90 G;0,06684492;25,00;0,00;0;
 ;1;5922;MYDLO ARKO KREMEM ZIELONE 90 GR;0,024064171;9,00;0,00;0;
 ;1;2419;MYDLO BAMBINO 90 G;0,056149733;21,00;0,00;0;
 ;1;8033;MYDLO DAVE 100G;0,002673797;1,00;0,00;0;
 ;1;4089;MYDLO DOVE 100G CREAM BAR;0,034759358;13,00;0,00;0;
 ;1;3843;MYDLO DOVE 100G EXFOLIATING;0,00802139;3,00;0,00;0;
 ;1;10222;MYDLO DOVE KOSTKA 100G BUTTER;0,00802139;3,00;0,00;0;
 ;1;4090;MYDLO DOVE OIL 100G;0,005347594;2,00;0,00;0;
 ;1;5721;MYDLO LUKSJA 90 G GLICERIN;0,018716578;7,00;0,00;0;
 ;1;4064;MYDLO LUKSJA 90 G LINEN;0,085561497;32,00;0,00;0;
 ;1;3802;MYDLO LUKSJS 90 G FRESH;0,010695187;4,00;0,00;0;
 ;1;18265;MYDLO PALMOLIVE 100 G;0,016042781;6,00;0,00;0;
 ;1;9469;MYDLO SAFINA 90 G OLIWKA;0,016042781;6,00;0,00;0;
 ;1;9956;MYDLO SAFINA JASMIN 90GR;0,016042781;6,00;0,00;0;
 ;1;9954;MYDLO SAFINA KREMOWE 90 GR;0,016042781;6,00;0,00;0;
 ;1;6764;MYDLO SZARE 175 G;0,048128342;18,00;0,00;0;
 ;1;9953;MYDLO SZARE ATTIS 200GR;0,016042781;6,00;0,00;0;
 ;1;9627;MYDLO W PLYNIE 500 ML SASZETKA ABE;0,00802139;3,00;0,00;0;
 ;1;9628;MYDLO W PLYNIE SASZETKA 500 ML ABE;0,002673797;1,00;0,00;0;
 ;1;19254;MYD?O ARKO CREAMY 90 G;0,013368984;5,00;0,00;0;
 ;1;4725;MYD?O LUKSJA W KOSTCE ROCE 90G;0,064171123;24,00;0,00;0;
 ;1;8137;MYSZ NAKRECANA;0,002673797;1,00;0,00;0;
 ;1;7639;NABIJARKA;0,002673797;1,00;0,00;0;
 ;1;3520;NAP SPRITE 0,2 PUSZKA;0,128342246;48,00;0,00;0;
 ;1;8460;NIVEA SZAMPIN 2*1 250 ML;0,005347594;2,00;0,00;0;
 ;1;8461;NIVEA SZAMPON DIAMOND 250 ML;0,002673797;1,00;0,00;0;
 ;1;7932;NOZE 12 SZT;0,00802139;3,00;0,00;0;
 ;1;8127;NOZYCZKI NIEBIESKIE;0,002673797;1,00;0,00;0;
 ;1;8126;NOZYCZKI Z LINIJKA;0,005347594;2,00;0,00;0;
 ;1;10238;NUREK 500 G GRANULKI DO RUR;0,002673797;1,00;0,00;0;
 ;1;10236;NUREK GRANULKI UDRAZNIA 250 G;0,005347594;2,00;0,00;0;
 ;1;5984;ODSWIEZACZ  SZYSZKA;0,00802139;3,00;0,00;0;
 ;1;6351;ODSWIEZACZ SPRAY 400 ML;0,010695187;4,00;0,00;0;
 ;1;6353;ODSWIEZACZ SPRAY 400 ML;0,002673797;1,00;0,00;0;
